date,price_1030,price_1450,vwap_1030,twap_1030,X1_price_deviation,X2_energy_deviation,Y_afternoon_return,morning_volume,morning_amount,X1_quantile,X2_quantile
2025-01-02,11.57,11.42,11.644267223351427,11.658500000000002,-0.006378007471564362,-0.0012208068489577562,-0.012964563526361328,67909649,790758100.0,Q1(最低),Q1(最低)
2025-01-03,11.44,11.39,11.44148456636148,11.434833333333335,-0.00012975294883010857,0.0005816641864604399,-0.004370629370629264,42156391,482331697.0,Q3,Q5(最高)
2025-01-06,11.37,11.44,11.32369678005978,11.337833333333332,0.0040890550885956944,-0.0012468478639556801,0.006156552330694787,53587175,606804921.0,Q5(最高),Q1(最低)
2025-01-07,11.48,11.51,11.449255746260585,11.455333333333336,0.002685262205751382,-0.0005305465057979797,0.002613240418118501,25046767,286766841.0,Q5(最高),Q1(最低)
2025-01-08,11.55,11.51,11.578245126151325,11.576833333333331,-0.0024394997552373843,0.00012194982663604748,-0.0034632034632035014,43041601,498346207.0,Q1(最低),Q4
2025-01-09,11.43,11.44,11.417537570871572,11.426833333333336,0.0010915163669109607,-0.0008135029356425294,0.0008748906386701893,27815631,317586012.0,Q4,Q1(最低)
2025-01-10,11.32,11.32,11.345166585080836,11.339833333333335,-0.0022182649229611773,0.00047031129918151393,0.0,33269666,377449903.0,Q2,Q5(最高)
2025-01-13,11.17,11.2,11.172698563760047,11.177666666666664,-0.00024153195798193305,-0.00044446690483546103,0.0026857654431511335,57846671,646303418.0,Q3,Q1(最低)
2025-01-14,11.32,11.37,11.298582370774273,11.305833333333338,0.0018956032290500247,-0.0006413470237249808,0.004416961130741859,28511757,322142435.0,Q4,Q1(最低)
2025-01-15,11.48,11.49,11.49969140028107,11.495333333333333,-0.0017123416268882696,0.000379116187531503,0.0008710801393727596,59922284,689087774.0,Q2,Q5(最高)
2025-01-16,11.56,11.55,11.539113010071045,11.54,0.0018101035938140608,-7.686221221436806e-05,-0.0008650519031141446,41554677,479504114.0,Q4,Q3
2025-01-17,11.48,11.46,11.479140905490574,11.481666666666667,7.483961704957132e-05,-0.00021998210272256014,-0.0017421602787456303,31408698,360544870.0,Q3,Q2
2025-01-20,11.47,11.42,11.467771616999512,11.46666666666667,0.0001943170020219931,9.636194763151806e-05,-0.0043591979075850995,36510178,418690383.0,Q3,Q3
2025-01-21,11.4,11.33,11.383232451493287,11.384999999999998,0.001473004138162315,-0.00015525239408975544,-0.0061403508771930015,38715260,440704804.0,Q4,Q2
2025-01-22,11.2,11.12,11.247596737354117,11.24266666666667,-0.004231725093418848,0.00043851435194319777,-0.0071428571428571175,39037764,439081027.0,Q1(最低),Q5(最高)
2025-01-23,11.35,11.34,11.298381022523985,11.300166666666668,0.004568705673238416,-0.00015801927487935075,-0.0008810572687224516,81411880,919822440.0,Q5(最高),Q2
2025-01-24,11.36,11.35,11.30556375267776,11.319,0.004814996272020977,-0.0011870525066032256,-0.0008802816901408717,46855875,529732082.0,Q5(最高),Q1(最低)
2025-01-27,11.48,11.48,11.49593575079178,11.499833333333333,-0.0013862073638226668,-0.0003389251329630749,0.0,58460736,672060865.0,Q2,Q2
2025-02-05,11.43,11.36,11.431539103572957,11.424333333333331,-0.00013463660133716804,0.0006307387949371357,-0.006124234470691214,35715790,408286450.0,Q3,Q5(最高)
2025-02-06,11.32,11.36,11.358806532023914,11.350166666666665,-0.0034164268855628732,0.0007612104395455788,0.0035335689045936647,33794120,383860871.0,Q1(最低),Q5(最高)
2025-02-07,11.38,11.38,11.350510357082173,11.351999999999999,0.002598089600387654,-0.00013122294906842136,0.0,33793398,383572314.0,Q5(最高),Q2
2025-02-10,11.48,11.43,11.434226188879592,11.433,0.004003227709884483,0.00010724996760180794,-0.004355400696864131,55176824,630904286.0,Q5(最高),Q4
2025-02-11,11.42,11.4,11.43115543045024,11.429666666666664,-0.0009758795178764768,0.0001302543483543417,-0.0017513134851138146,34784915,397631770.0,Q2,Q4
